 行政區 , 現有門牌 , 戶籍登記 , 現有門牌 , 戶籍登記 , 戶數 , 合計 , 男 , 女 
 總計 ,456,456,9589,9569,1056439,2664983,1271327,1393656
 松山 ,33,33,765,763,81217,205626,96362,109264
 信義 ,41,41,905,904,89483,222814,106189,116625
 大安 ,53,53,1026,1022,121344,308727,143896,164831
 中山 ,42,42,871,869,100450,229088,106426,122662
 中正 ,31,31,583,583,65475,158814,75791,83023
 大同 ,25,25,522,521,51881,127559,62056,65503
 萬華 ,36,36,725,723,78764,189052,92662,96390
 文山 ,43,43,1006,1005,106781,273605,131073,142532
 南港 ,20,20,454,452,47371,121379,59289,62090
 內湖 ,39,39,908,906,108783,287331,137101,150230
 士林 ,51,51,996,995,107486,285931,137743,148188
 北投 ,42,42,828,826,97404,255057,122739,132318
,,,,,,,,
,,,,,,,,
,,,,,,,,
